市区町村コード,NO,都道府県名,市区町村名,種別,住所（都道府県）,住所（市区町村）,住所（町名番地）,方書,緯度,経度,消火器番号,備考
013206,0000001001,東京都,府中市,その他,東京都,府中市,押立町4丁目39番地5,,35.6537412,139.5200273,01-001,
013206,0000001002,東京都,府中市,その他,東京都,府中市,押立町5丁目7番地50,,35.65157926,139.5198702,01-002,
013206,0000001003,東京都,府中市,その他,東京都,府中市,押立町5丁目13番地46,,35.65051928,139.5201473,01-003,
013206,0000001004,東京都,府中市,その他,東京都,府中市,押立町4丁目33番地1,,35.65503927,139.5175958,01-004,
013206,0000001005,東京都,府中市,その他,東京都,府中市,押立町4丁目13番地7,,35.65431034,139.5137787,01-005,
013206,0000001006,東京都,府中市,その他,東京都,府中市,押立町5丁目4番地,,35.65394344,139.5177051,01-006,
013206,0000001007,東京都,府中市,その他,東京都,府中市,押立町5丁目8番地1,,35.65274397,139.5184428,01-007,
013206,0000001008,東京都,府中市,その他,東京都,府中市,押立町5丁目6番地6,,35.65239978,139.5182495,01-008,
013206,0000001009,東京都,府中市,その他,東京都,府中市,押立町5丁目4番地,,35.65383358,139.5181067,01-009,
013206,0000001010,東京都,府中市,その他,東京都,府中市,押立町4丁目36番地14,,35.65425991,139.518673,01-010,
013206,0000001011,東京都,府中市,その他,東京都,府中市,押立町5丁目9番地20,,35.65317439,139.5195802,01-011,
013206,0000001012,東京都,府中市,その他,東京都,府中市,押立町1丁目35番地,,35.65762312,139.5122576,01-012,
013206,0000001013,東京都,府中市,その他,東京都,府中市,押立町1丁目14番地,,35.65960045,139.5077406,01-013,
013206,0000001014,東京都,府中市,その他,東京都,府中市,押立町2丁目13番地,,35.65856575,139.5143723,01-014,
013206,0000001015,東京都,府中市,その他,東京都,府中市,押立町2丁目41番地,,35.65680231,139.51718,01-015,
013206,0000001016,東京都,府中市,その他,東京都,府中市,押立町4丁目31番地,,35.65483636,139.5169595,01-016,
013206,0000001017,東京都,府中市,その他,東京都,府中市,押立町4丁目36番地,,35.65456158,139.518677,01-017,
013206,0000001018,東京都,府中市,その他,東京都,府中市,押立町4丁目14番地52,,35.6542751,139.51546,01-018,
013206,0000001019,東京都,府中市,その他,東京都,府中市,押立町5丁目6番地14,,35.65270784,139.5180131,01-019,
013206,0000001020,東京都,府中市,その他,東京都,府中市,押立町5丁目7番地67,,35.65221525,139.5192157,01-020,
013206,0000001021,東京都,府中市,その他,東京都,府中市,押立町5丁目13番地130,,35.65147722,139.5185566,01-021,
013206,0000001022,東京都,府中市,その他,東京都,府中市,押立町4丁目38番地7,,35.65379337,139.5194598,01-022,
013206,0000001023,東京都,府中市,その他,東京都,府中市,押立町4丁目31番地,,35.6543143,139.517256,01-023,
013206,0000001024,東京都,府中市,その他,東京都,府中市,押立町5丁目15番地,,35.6532909,139.5154109,01-024,
013206,0000001025,東京都,府中市,その他,東京都,府中市,押立町4丁目38番地,,35.65426942,139.5191592,01-025,
013206,0000001026,東京都,府中市,その他,東京都,府中市,押立町5丁目14番地54,,35.65282246,139.5164431,01-026,
013206,0000001027,東京都,府中市,その他,東京都,府中市,押立町1丁目5番地,,35.65927321,139.5066846,01-027,
013206,0000001028,東京都,府中市,その他,東京都,府中市,押立町2丁目25番地,,35.65817997,139.5152545,01-028,
013206,0000001029,東京都,府中市,その他,東京都,府中市,押立町5丁目13番地60,,35.65134176,139.5196234,01-029,
013206,0000001030,東京都,府中市,その他,東京都,府中市,押立町5丁目12番地25,,35.65140097,139.5206312,01-030,
013206,0000001031,東京都,府中市,その他,東京都,府中市,押立町5丁目13番地11,,35.65100671,139.5206345,01-031,
013206,0000001032,東京都,府中市,その他,東京都,府中市,押立町1丁目37番地,,35.65946898,139.5122703,01-032,
