OBJECTID,safield002,safield003,sauid,saangle,sasize,sasymbolno,safield000,x,y,objectid_1,x1,y1
1,代田4-9-16,,,,,,,139.6595278,35.66090806,1,139.6595278,35.66090806
2,豪徳寺2-15-7,,,,,,,139.6470855,35.64553402,2,139.6470855,35.64553402
3,豪徳寺1-52-3,,,,,,,139.6474165,35.65595532,3,139.6474165,35.65595532
4,桜上水5-5-11,,,,,,,139.6282268,35.66539859,4,139.6282268,35.66539859
5,桜上水5-40-5,,,,,,,139.6283975,35.66594052,5,139.6283975,35.66594052
6,桜上水5-24-1,,,,,,,139.6320759,35.66705577,6,139.6320759,35.66705577
7,桜上水3-5-6,,,,,,,139.6340478,35.65951357,7,139.6340478,35.65951357
8,赤堤1-26-1,,,,,,,139.6412113,35.65455107,8,139.6412113,35.65455107
9,豪徳寺2-21-7,,,,,,,139.6452276,35.64795033,9,139.6452276,35.64795033
10,赤堤5-22-11,,,,,,,139.6368218,35.66416948,10,139.6368218,35.66416948
11,松原3-22-2,,,,,,,139.6442335,35.66496041,11,139.6442335,35.66496041
12,松原3-25-3,,,,,,,139.6443772,35.66552795,12,139.6443772,35.66552795
13,松原3-15-18,,,,,,,139.6439844,35.66470465,13,139.6439844,35.66470465
14,松原4-1-16,,,,,,,139.6477648,35.66053295,14,139.6477648,35.66053295
15,松原2-32-3,,,,,,,139.6474109,35.66663497,15,139.6474109,35.66663497
16,松原2-15-8,,,,,,,139.6464682,35.66587689,16,139.6464682,35.66587689
17,松原2-16-2,,,,,,,139.6475629,35.66602876,17,139.6475629,35.66602876
18,松原3-23-4,,,,,,,139.6460244,35.66532159,18,139.6460244,35.66532159
19,松原2-11-10,,,,,,,139.6472119,35.66485463,19,139.6472119,35.66485463
20,松原2-11-2,,,,,,,139.6474735,35.66458408,20,139.6474735,35.66458408
21,松原3-19-14,,,,,,,139.6467182,35.66446123,21,139.6467182,35.66446123
22,松原3-27-5,,,,,,,139.6429954,35.66456455,22,139.6429954,35.66456455
23,松原3-4-14,,,,,,,139.6453484,35.66379082,23,139.6453484,35.66379082
24,松原3-4-5,,,,,,,139.6452776,35.66349217,24,139.6452776,35.66349217
25,松原3-2-10,,,,,,,139.6459714,35.66379909,25,139.6459714,35.66379909
26,松原3-8-17,,,,,,,139.6448469,35.66415779,26,139.6448469,35.66415779
27,松原3-6-8,,,,,,,139.6440231,35.66342287,27,139.6440231,35.66342287
28,松原4-34-22,,,,,,,139.6449868,35.66298623,28,139.6449868,35.66298623
29,松原4-33-2,,,,,,,139.6437091,35.6624909,29,139.6437091,35.6624909
30,松原3-11-4,,,,,,,139.6423007,35.66338653,30,139.6423007,35.66338653
31,赤堤4-37-4,,,,,,,139.641685,35.66399957,31,139.641685,35.66399957
32,赤堤4-25-10,,,,,,,139.6415942,35.66366781,32,139.6415942,35.66366781
33,赤堤4-26-8,,,,,,,139.6410772,35.66384438,33,139.6410772,35.66384438
34,赤堤4-27-4,,,,,,,139.6407148,35.66288221,34,139.6407148,35.66288221
35,赤堤4-21-1,,,,,,,139.6419066,35.66252428,35,139.6419066,35.66252428
36,赤堤4-20-10,,,,,,,139.6403111,35.66257988,36,139.6403111,35.66257988
37,赤堤4-19-13,,,,,,,139.6398933,35.66289928,37,139.6398933,35.66289928
38,赤堤5-12-18,,,,,,,139.6376676,35.6623043,38,139.6376676,35.6623043
39,赤堤5-20-1,,,,,,,139.6373908,35.66315168,39,139.6373908,35.66315168
40,赤堤5-23-1,,,,,,,139.6365108,35.66360697,40,139.6365108,35.66360697
41,赤堤4-17-9,,,,,,,139.6386599,35.66271522,41,139.6386599,35.66271522
42,赤堤4-17-4,,,,,,,139.638846,35.66237976,42,139.638846,35.66237976
43,赤堤4-19-4,,,,,,,139.6394411,35.66243804,43,139.6394411,35.66243804
44,赤堤5-28-5,,,,,,,139.6378742,35.66373105,44,139.6378742,35.66373105
45,赤堤5-25-11,,,,,,,139.6373203,35.66433903,45,139.6373203,35.66433903
46,赤堤5-28-20,,,,,,,139.6382759,35.66423927,46,139.6382759,35.66423927
47,赤堤4-43-10,,,,,,,139.6388038,35.66445789,47,139.6388038,35.66445789
48,赤堤4-34-8,,,,,,,139.6393079,35.6639141,48,139.6393079,35.6639141
49,赤堤4-43-3,,,,,,,139.6394481,35.66461776,49,139.6394481,35.66461776
50,赤堤4-44-22,,,,,,,139.6401663,35.66557355,50,139.6401663,35.66557355
51,赤堤5-31-18,,,,,,,139.6385067,35.66558079,51,139.6385067,35.66558079
52,赤堤5-42-1,,,,,,,139.6375868,35.66594932,52,139.6375868,35.66594932
53,桜上水4-11-9,,,,,,,139.6338883,35.66670085,53,139.6338883,35.66670085
54,桜上水4-5-2,,,,,,,139.63526,35.66628984,54,139.63526,35.66628984
55,桜上水4-5-2,,,,,,,139.6351448,35.66561226,55,139.6351448,35.66561226
56,赤堤5-38-10,,,,,,,139.6357675,35.66656478,56,139.6357675,35.66656478
57,桜上水4-8-5,,,,,,,139.6329066,35.66680333,57,139.6329066,35.66680333
58,赤堤5-41-6,,,,,,,139.6363573,35.6661256,58,139.6363573,35.6661256
59,桜上水4-7-7,,,,,,,139.6327132,35.66708982,59,139.6327132,35.66708982
60,桜上水5-14-7,,,,,,,139.6317352,35.66666464,60,139.6317352,35.66666464
61,桜上水4-18-23,,,,,,,139.6323191,35.6663111,61,139.6323191,35.6663111
62,桜上水5-38-21,,,,,,,139.6292479,35.66669893,62,139.6292479,35.66669893
63,桜上水5-38-15,,,,,,,139.6284342,35.66677507,63,139.6284342,35.66677507
64,桜上水5-38-8,,,,,,,139.6282129,35.66646886,64,139.6282129,35.66646886
65,桜上水5-17-8,,,,,,,139.6301157,35.66691466,65,139.6301157,35.66691466
66,桜上水5-16-3,,,,,,,139.6305258,35.66649901,66,139.6305258,35.66649901
67,桜上水5-39-6,,,,,,,139.6289147,35.66600107,67,139.6289147,35.66600107
68,桜上水5-39-14,,,,,,,139.6293087,35.66642646,68,139.6293087,35.66642646
69,桜上水5-6-14,,,,,,,139.6297888,35.66501834,69,139.6297888,35.66501834
70,桜上水5-8-1,,,,,,,139.630281,35.66526461,70,139.630281,35.66526461
71,桜上水5-8-10,,,,,,,139.6304905,35.66605781,71,139.6304905,35.66605781
72,桜上水5-4-18,,,,,,,139.6275419,35.66537516,72,139.6275419,35.66537516
73,桜上水5-2-18,,,,,,,139.6281299,35.66434094,73,139.6281299,35.66434094
74,桜上水5-1-13,,,,,,,139.6289514,35.66397421,74,139.6289514,35.66397421
75,桜上水5-2-4,,,,,,,139.6277606,35.66358487,75,139.6277606,35.66358487
76,桜上水5-1-5,,,,,,,139.628379,35.66341033,76,139.628379,35.66341033
77,桜上水4-24-4,,,,,,,139.6296458,35.66328341,77,139.6296458,35.66328341
78,桜上水3-21-15,,,,,,,139.6305233,35.66300429,78,139.6305233,35.66300429
79,桜上水3-21-11,,,,,,,139.6299359,35.66276723,79,139.6299359,35.66276723
80,桜上水3-19-12,,,,,,,139.6311864,35.66187112,80,139.6311864,35.66187112
81,桜上水2-21-20,,,,,,,139.6308076,35.66079253,81,139.6308076,35.66079253
82,桜上水2-21-6,,,,,,,139.6302397,35.66052477,82,139.6302397,35.66052477
83,桜上水3-18-8,,,,,,,139.6311052,35.66049882,83,139.6311052,35.66049882
84,桜上水3-15-10,,,,,,,139.6328321,35.66043077,84,139.6328321,35.66043077
85,桜上水3-17-8,,,,,,,139.632181,35.66026906,85,139.632181,35.66026906
86,桜上水3-4-11,,,,,,,139.633488,35.65957168,86,139.633488,35.65957168
87,桜上水3-4-1,,,,,,,139.6329188,35.65943778,87,139.6329188,35.65943778
88,桜上水3-5-15,,,,,,,139.6343474,35.65977654,88,139.6343474,35.65977654
89,桜上水3-5-5,,,,,,,139.633674,35.65956252,89,139.633674,35.65956252
90,桜上水3-5-5,,,,,,,139.6341595,35.65937972,90,139.6341595,35.65937972
91,桜上水3-5-5,,,,,,,139.6341453,35.65922944,91,139.6341453,35.65922944
92,桜上水3-5-7,,,,,,,139.6338605,35.65935209,92,139.6338605,35.65935209
93,赤堤3-35-10,,,,,,,139.6354145,35.6592236,93,139.6354145,35.6592236
94,桜上水3-2-2,,,,,,,139.6348646,35.65831699,94,139.6348646,35.65831699
95,赤堤3-31-15,,,,,,,139.6361417,35.65785146,95,139.6361417,35.65785146
96,赤堤3-27-10,,,,,,,139.6370731,35.65863654,96,139.6370731,35.65863654
97,桜上水3-1-17,,,,,,,139.6346679,35.6577388,97,139.6346679,35.6577388
98,赤堤3-16-4,,,,,,,139.6394994,35.65822404,98,139.6394994,35.65822404
99,赤堤3-15-1,,,,,,,139.6400612,35.65747644,99,139.6400612,35.65747644
100,赤堤3-9-11,,,,,,,139.6405998,35.65806076,100,139.6405998,35.65806076
101,赤堤3-12-10,,,,,,,139.6412718,35.65711584,101,139.6412718,35.65711584
102,赤堤3-8-12,,,,,,,139.6416076,35.65825932,102,139.6416076,35.65825932
103,赤堤3-2-2,,,,,,,139.6424703,35.65781559,103,139.6424703,35.65781559
104,赤堤3-12-16,,,,,,,139.642097,35.65764122,104,139.642097,35.65764122
105,赤堤1-23-17,,,,,,,139.6411071,35.65659747,105,139.6411071,35.65659747
106,赤堤1-22-22,,,,,,,139.6424265,35.6566395,106,139.6424265,35.6566395
107,赤堤1-33-19,,,,,,,139.6402829,35.65583747,107,139.6402829,35.65583747
108,赤堤1-20-18,,,,,,,139.6420916,35.65613438,108,139.6420916,35.65613438
109,赤堤1-14-17,,,,,,,139.6434529,35.6545987,109,139.6434529,35.6545987
110,赤堤1-16-1,,,,,,,139.6427117,35.6538146,110,139.6427117,35.6538146
