管理番号,消火器種別,所在,経度,緯度,備考
国-4-1,強化液消火器（３型）,東京都台東区三ﾉ輪1-28-12,139.7916378,35.72963814,
国-4-2,強化液消火器（３型）,東京都台東区三ﾉ輪1-28-7,139.7912498,35.72922681,
国-4-3,強化液消火器（３型）,東京都台東区竜泉2-20-9,139.7903147,35.7282378,
国-4-4,強化液消火器（３型）,東京都台東区竜泉2-18-6,139.7896113,35.72725697,
国-4-5,強化液消火器（３型）,東京都台東区竜泉2-17-10,139.7891596,35.72663963,
国-4-6,強化液消火器（３型）,東京都台東区竜泉2-7-6,139.7883045,35.72545385,
国-4-7,強化液消火器（３型）,東京都台東区竜泉2-6-10,139.7880106,35.72505545,
国-4-8,強化液消火器（３型）,東京都台東区竜泉1-28-4,139.7874872,35.72430547,
国-4-9,強化液消火器（３型）,東京都台東区竜泉1-13-3,139.7870495,35.72373916,
国-4-10,強化液消火器（３型）,東京都台東区竜泉1-11-3,139.7865889,35.7231155,
国-4-11,強化液消火器（３型）,東京都台東区入谷1-27-4,139.7858533,35.72213864,
国-4-12,強化液消火器（３型）,東京都台東区入谷1-18-5,139.7851555,35.72124754,
国-4-13,強化液消火器（３型）,東京都台東区入谷1-6-6,139.7843599,35.72024498,
国-4-14,強化液消火器（３型）,東京都台東区北上野1-15-5,139.783372,35.71889825,
国-4-15,強化液消火器（３型）,東京都台東区北上野1-14-4,139.7830271,35.718459,
国-4-16,強化液消火器（３型）,東京都台東区北上野1-11-3,139.7822681,35.71754943,
国-4-17,強化液消火器（３型）,東京都台東区北上野1-8-4,139.7818956,35.71710876,
国-4-18,強化液消火器（３型）,東京都台東区北上野1-7-1,139.7813785,35.71645135,
国-4-19,強化液消火器（３型）,東京都台東区東上野4-27-2,139.7807183,35.71557464,
国-4-20,強化液消火器（３型）,東京都台東区東上野4-26-4,139.7801952,35.71481871,
国-4-21,強化液消火器（３型）,東京都台東区東上野4-10-7,139.779756,35.71417185,
国-4-22,強化液消火器（３型）,東京都台東区東上野4-8,139.7793107,35.71354413,
国-4-23,強化液消火器（３型）,東京都台東区東上野4-3-6,139.7785709,35.71250818,
国-4-24,強化液消火器（３型）,東京都台東区東上野3-19-6,139.7777651,35.7116915,
国-4-25,強化液消火器（３型）,東京都台東区東上野3-18-6,139.7771131,35.71122242,
国-4-26,強化液消火器（３型）,東京都台東区東上野2-18-7,139.7767885,35.71050242,
国-4-27,強化液消火器（３型）,東京都台東区東上野2-16-1,139.7767104,35.70943485,
国-4-28,強化液消火器（３型）,東京都台東区東上野1-14-5,139.7765531,35.70806482,
国-4-29,強化液消火器（３型）,東京都台東区台東4-33-2,139.7764764,35.70739222,
国-4-30,強化液消火器（３型）,東京都台東区台東3-42-4,139.7762877,35.70556635,
国-4-31,強化液消火器（３型）,東京都台東区台東3-41-4,139.7762834,35.70521139,
国-4-32,強化液消火器（３型）,東京都台東区台東2-28-3,139.7761625,35.7040343,
国-4-33,強化液消火器（３型）,東京都台東区台東2-9-4,139.7760702,35.7032091,
国-4-34,強化液消火器（３型）,東京都台東区上野5-1-9,139.7755941,35.70288868,
国-4-35,強化液消火器（３型）,東京都台東区上野5-6-10,139.7757279,35.70394348,
